id_Estacion;id_Dato (FK);Fecha;Dia;Mes;Anio;Temperatura Media [C];Temperatura Maxima [C];Temperatura Minima [C];Temperatura Media [F];Temperatura Maxima [F];Temperatura Minima [F];Lluvia [mm];Velocidad Media [km/h];Velocidad Maxima [km/h];Direccion Dominante;HR% Media;HR% Maxima;HR% Minima;Indice de Calor Media [C];Indice de Calor Maxima [C];Indice de Calor Minima [C];Indice de Calor Media [F];Indice de Calor Maxima [F];Indice de Calor Minima [F];Radiacion Global [w/m2];Radiacion Global Max [w/m2];UV Indice;UV Dosis;UV Indice Maximo;Evatranspiracion ET [mm] ;Punto de Rocio [Td] Media;Punto de Rocio [Td] Maxima;Punto de Rocio [Td] Minima
EEA01;1;1/8/2011;1;8;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;2;2/8/2011;2;8;2011;11,1;14,1;6,1;51,98;57,38;42,98;0;4,3;40,2;SSW;55;61;35;35,33;29,58;39,26;95,59;85,25;102,66;452;455;;;;;2,1;6,3;-6,9
EEA01;3;3/8/2011;3;8;2011;6,9;12,7;1,1;44,42;54,86;33,98;0;3,5;24,1;SW;56;80;34;45,8;27,01;49,04;114,44;80,62;120,27;535;554;;;;;-1,9;8,7;-12,1
EEA01;4;4/8/2011;4;8;2011;2,4;9,8;-2;36,32;49,64;28,4;0;2,6;22,5;N;62;77;42;62,53;34,72;67,25;144,55;94,5;153,05;424;573;;;;;-5,2;5,2;-13,6
EEA01;5;5/8/2011;5;8;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;6;6/8/2011;6;8;2011;8,6;16,5;4,4;47,48;61,7;39,92;0;1,3;11,3;SSW;66;87;42;40,84;19,44;47,62;105,52;67;117,71;200;234;;;;;1,8;13,9;-7,2
EEA01;7;7/8/2011;7;8;2011;4,6;7,9;-0,3;40,28;46,22;31,46;0,2;2,6;22,5;SE;81;92;57;50,77;32,42;72,47;123,39;90,36;162,44;475;555;;;;;0,8;6,3;-8,9
EEA01;8;8/8/2011;8;8;2011;9,2;13,6;6,1;48,56;56,48;42,98;0,2;1,4;14,5;SSE;85;96;67;32,79;17,31;48,6;91,01;63,15;119,48;423;499;;;;;6,2;12,8;-0,5
EEA01;9;9/8/2011;9;8;2011;12,6;17,3;10,3;54,68;63,14;50,54;0;5;30,6;NNE;77;86;61;28,35;19,48;36,94;83,03;67,06;98,49;483;508;;;;;8;14,5;2,5
EEA01;10;10/8/2011;10;8;2011;10,5;19,4;0,2;50,9;66,92;32,36;0,2;3,2;29;NW;66;98;36;35,87;15,28;53,58;96,57;59,5;128,44;513;582;;;;;3,7;19;-12,6
EEA01;11;11/8/2011;11;8;2011;14,7;20,6;8,4;58,46;69,08;47,12;0,2;5,6;33,8;W;49;85;31;29,31;20,21;33;84,76;68,39;91,39;514;605;;;;;4,5;17,6;-5,4
EEA01;12;12/8/2011;12;8;2011;11;15,7;3,2;51,8;60,26;37,76;0;7,9;35,4;SSW;43;65;26;33,99;26,81;35,92;93,18;80,25;96,66;525;527;;;;;-0,4;8,7;-11,6
EEA01;13;13/8/2011;13;8;2011;7,4;15,2;-0,7;45,32;59,36;30,74;0;2,9;22,5;NNW;56;85;32;44,37;21,32;50,88;111,86;70,37;123,59;528;529;;;;;-1,4;12,2;-14,3
EEA01;14;14/8/2011;14;8;2011;6,7;15,2;-1,9;44,06;59,36;28,58;0;2,4;17,7;ESE;58;94;28;46,63;16,94;47,62;115,93;62,5;117,71;521;545;;;;;-1,7;14;-16,3
EEA01;15;15/8/2011;15;8;2011;6,3;14,6;-1,7;43,34;58,28;28,94;0;3,2;22,5;SSW;56;85;27;47,58;21,98;45,58;117,65;71,56;114,04;519;589;;;;;-2,5;11,6;-16,3
EEA01;16;16/8/2011;16;8;2011;5,9;17,1;-3,2;42,62;62,78;26,24;0;2,3;33,8;WNW;57;89;23;48,98;18,35;41,06;120,16;65,03;105,9;518;603;;;;;-2,7;14,9;-18,6
EEA01;17;17/8/2011;17;8;2011;6,4;9,2;0,6;43,52;48,56;33,08;1;2,1;16,1;SW;71;94;46;46,97;27,22;61,92;116,54;81;143,45;449;494;;;;;0,6;8;-10,2
EEA01;18;18/8/2011;18;8;2011;5,4;11,7;-2;41,72;53,06;28,4;0,2;4;29;SW;70;97;36;50,74;19,47;59,78;123,33;67,05;139,61;631;765;;;;;-0,6;11,1;-14,8
EEA01;19;19/8/2011;19;8;2011;5,2;13,5;-2,4;41,36;56,3;27,68;0;3,9;27,4;SSW;54;95;16;50,57;18,05;25,85;123,02;64,49;78,53;572;575;;;;;-4;12,5;-19,2
EEA01;20;20/8/2011;20;8;2011;5,4;12,2;-2,3;41,72;53,96;27,86;0;2,1;17,7;SSW;42;82;21;45,1;27,11;35,87;113,18;80,8;96,56;573;575;;;;;-6,2;8,6;-18,1
EEA01;21;21/8/2011;21;8;2011;4,6;13,4;-5,8;40,28;56,12;21,56;0;3,5;24,1;NNE;52;87;28;51,86;22,65;56,48;125,35;72,77;133,66;576;578;;;;;-5;10,8;-20,2
EEA01;22;22/8/2011;22;8;2011;8,1;16,1;-2,9;46,58;60,98;26,78;0;2,3;30,6;NNW;46;83;23;40,45;21,31;40,58;104,81;70,36;105,05;621;731;;;;;-2,7;12,7;-18,3
EEA01;23;23/8/2011;23;8;2011;9,7;15,3;4,4;49,46;59,54;39,92;0;2,4;20,9;SSW;53;77;27;38,22;24,24;35,31;100,8;75,63;95,55;339;392;;;;;0,3;10,7;-10,2
EEA01;24;24/8/2011;24;8;2011;9,1;13,4;-0,2;48,38;56,12;31,64;0;7,4;30,6;SSW;60;90;27;39,95;21,08;42,75;103,91;69,95;108,94;596;684;;;;;1,1;11,4;-14,8
EEA01;25;25/8/2011;25;8;2011;4,9;12,4;-5,1;40,82;54,32;22,82;0;4,2;27,4;NNE;63;93;40;52,96;20,9;75,98;127,33;69,61;168,76;522;580;;;;;-2,5;11;-17,1
EEA01;26;26/8/2011;26;8;2011;9,9;14,6;5,1;49,82;58,28;41,18;0;3,2;22,5;NNE;45;69;37;36,43;27,4;42,65;97,57;81,33;108,77;397;483;;;;;-1,1;8,4;-7,5
EEA01;27;27/8/2011;27;8;2011;9;16,8;1,8;48,2;62,24;35,24;0;4,5;35,4;SSW;57;92;26;40,18;17,13;38;104,32;62,84;100,4;602;603;;;;;0,4;15,2;-13
EEA01;28;28/8/2011;28;8;2011;9;18,8;-0,8;48,2;65,84;30,56;0;3,7;33,8;SSW;50;87;19;39,39;18,96;30,46;102,9;66,13;86,83;611;684;;;;;-1;16,2;-17
EEA01;29;29/8/2011;29;8;2011;10,6;17,1;1,8;51,08;62,78;35,24;0;8;45,1;W;41;68;22;34,12;24,84;32,57;93,42;76,71;90,63;635;731;;;;;-1,2;10,7;-13,8
EEA01;30;30/8/2011;30;8;2011;8;14,3;0,1;46,4;57,74;32,18;0;7,6;40,2;WSW;43;62;20;39,64;29,15;31,31;103,35;84,47;88,37;612;615;;;;;-3,4;6,7;-15,9
EEA01;31;31/8/2011;31;8;2011;8,2;18,3;-3,5;46,76;64,94;25,7;0;4,5;32,2;NNE;43;86;15;39,22;19,28;24,3;102,59;66,7;75,75;682;740;;;;;-3,2;15,5;-20,5
EEA01;32;1/9/2011;1;9;2011;13,1;23,2;4,3;55,58;73,76;39,74;0;3,4;25,7;NNE;37;58;21;29,64;24,92;28,79;85,36;76,86;83,83;605;606;;;;;0,5;14,8;-11,5
EEA01;33;2/9/2011;2;9;2011;10,8;21,3;-0,9;51,44;70,34;30,38;0;2,6;22,5;NNW;45;81;17;34,77;21,52;26,84;94,59;70,73;80,31;613;615;;;;;-0,2;17,5;-17,5
EEA01;34;3/9/2011;3;9;2011;10,6;17,2;2,2;51,08;62,96;35,96;0;6;35,4;SSW;42;81;11;34,4;21,3;15,21;93,92;70,33;59,38;631;643;;;;;-1;13,4;-15,6
EEA01;35;4/9/2011;4;9;2011;8,6;16,8;-1,8;47,48;62,24;28,76;0;7,1;45,1;WSW;42;80;21;38,04;21,87;35,23;100,47;71,36;95,42;636;729;;;;;-3;12,8;-17,6
EEA01;36;5/9/2011;5;9;2011;10,4;16,9;-0,2;50,72;62,42;31,64;0;8,2;46,7;SW;36;67;20;32,73;25,2;31,62;90,91;77,37;88,92;624;643;;;;;-2,4;10,3;-16,2
EEA01;37;6/9/2011;6;9;2011;10,9;17,6;4;51,62;63,68;39,2;0;3,7;30,6;W;39;64;16;33,05;25,17;22,62;91,49;77,3;72,71;631;689;;;;;-1,3;10,4;-12,8
EEA01;38;7/9/2011;7;9;2011;9,9;18,6;1;49,82;65,48;33,8;0;4,8;30,6;SSW;48;72;25;37,08;23,1;37,87;98,74;73,58;100,16;634;647;;;;;-0,5;13;-14
EEA01;39;8/9/2011;8;9;2011;12,3;20,6;1,9;54,14;69,08;35,42;0;4,5;29;WNW;47;78;24;32,57;21,77;35,21;90,63;71,18;95,38;581;816;;;;;1,7;16,2;-13,3
EEA01;40;9/9/2011;9;9;2011;13,6;24,7;3;56,48;76,46;37,4;0;8,9;53,1;W;49;88;17;30,78;25,09;24,45;87,4;77,17;76,02;645;735;;;;;3,4;22,3;-13,6
EEA01;41;10/9/2011;10;9;2011;12,3;17,7;6,7;54,14;63,86;44,06;0;9,3;46,7;SSW;35;50;16;29,98;26,38;21,8;85,96;79,48;71,24;637;649;;;;;-0,7;7,7;-10,1
EEA01;42;11/9/2011;11;9;2011;14,1;25,8;1,3;57,38;78,44;34,34;0;5,6;40,2;SSW;42;84;13;29,46;27,39;18,65;85,03;81,3;65,57;657;666;;;;;2,5;22,6;-16,1
EEA01;43;12/9/2011;12;9;2011;13,3;19,8;5,2;55,94;67,64;41,36;0;6,3;37;SSW;44;84;15;30,73;20,1;20,97;87,31;68,18;69,75;683;705;;;;;2,1;16,6;-11,8
EEA01;44;13/9/2011;13;9;2011;12,6;22,1;2,6;54,68;71,78;36,68;0;2,4;20,9;NNE;36;70;13;29,94;23,59;18,52;85,89;74,47;65,33;633;647;;;;;-0,2;16,1;-14,8
EEA01;45;14/9/2011;14;9;2011;15;21,8;7,6;59;71,24;45,68;0;3,5;22,5;NNW;32;73;21;26,74;23,09;26,32;80,13;73,56;79,38;645;652;;;;;1,4;16,4;-8,2
EEA01;46;15/9/2011;15;9;2011;15,4;27,8;3,3;59,72;82,04;37,94;0;1,8;16,1;SSE;45;87;11;28,34;32,64;15,38;83;90,76;59,69;679;728;;;;;4,4;25,2;-14,5
EEA01;47;16/9/2011;16;9;2011;14,7;18;9;58,46;64,4;48,2;0;9,7;45,1;SSW;30;44;14;26,42;26,17;19,56;79,55;79,11;67,21;699;752;;;;;0,7;6,8;-8,2
EEA01;48;17/9/2011;17;9;2011;9,4;18,2;2,4;48,92;64,76;36,32;0;3,1;22,5;SSW;44;77;16;37,13;22,04;23,26;98,83;71,68;73,86;659;670;;;;;-1,8;13,6;-14,4
EEA01;49;18/9/2011;18;9;2011;10,7;22,3;-2,8;51,26;72,14;26,96;0;3,1;25,7;NNE;46;93;12;35,15;20,23;17,13;95,28;68,41;62,83;657;661;;;;;-0,1;20,9;-20,4
EEA01;50;19/9/2011;19;9;2011;13,9;24,4;2,5;57,02;75,92;36,5;0;2,3;20,9;NNW;42;90;11;29,69;24,38;15,25;85,45;75,88;59,46;663;668;;;;;2,3;22,4;-15,3
EEA01;51;20/9/2011;20;9;2011;13,7;26,9;2,6;56,66;80,42;36,68;0;2,1;17,7;WNW;46;82;10;30,42;29,7;13,6;86,76;85,46;56,48;659;664;;;;;2,9;23,3;-15,4
EEA01;52;21/9/2011;21;9;2011;17,4;23,8;8,1;63,32;74,84;46,58;0;6;45,1;SSW;34;69;12;25,71;24,79;17,51;78,29;76,62;63,52;638;675;;;;;4,2;17,6;-9,5
EEA01;53;22/9/2011;22;9;2011;9;12,4;6,7;48,2;54,32;44,06;0;6,4;35,4;ESE;58;76;41;40,21;29,09;41,56;104,38;84,36;106,81;814;888;;;;;0,6;7,6;-5,1
EEA01;54;23/9/2011;23;9;2011;10,1;17,8;0,3;50,18;64,04;32,54;0;3,5;19,3;NNW;64;93;40;37,13;16,59;57,56;98,84;61,85;135,61;707;789;;;;;2,9;16,4;-11,7
EEA01;55;24/9/2011;24;9;2011;14,9;24,2;4,4;58,82;75,56;39,92;0;2,3;25,7;N;55;95;22;28,98;23,57;29,87;84,17;74,43;85,77;555;722;;;;;5,9;23,2;-11,2
EEA01;56;25/9/2011;25;9;2011;13,8;20,2;5,3;56,84;68,36;41,54;0;2,7;22,5;SSW;46;83;19;30,29;20,5;25,73;86,52;68,91;78,32;459;589;;;;;3;16,8;-10,9
EEA01;57;26/9/2011;26;9;2011;12,8;22,1;2,3;55,04;71,78;36,14;0;2,7;20,9;NNW;46;88;17;31,69;20,92;24,83;89,03;69,65;76,69;641;752;;;;;2;19,7;-14,3
EEA01;58;27/9/2011;27;9;2011;18,2;25,4;13,2;64,76;77,72;55,76;0;3,4;17,7;SE;33;50;24;25,26;26,14;25,12;77,46;79,05;77,22;723;919;;;;;4,8;15,4;-2
EEA01;59;28/9/2011;28;9;2011;16,5;22,1;12,7;61,7;71,78;54,86;0;9,2;33,8;SSW;49;75;26;27,37;22,99;26,26;81,27;73,38;79,27;689;714;;;;;6,3;17,1;-2,1
EEA01;60;29/9/2011;29;9;2011;13,9;20,6;3,1;57,02;69,08;37,58;0;4,3;24,1;S;45;91;22;30,06;18,65;31,17;86,11;65,57;88,1;693;712;;;;;2,9;18,8;-12,5
EEA01;61;30/9/2011;30;9;2011;14,1;21,8;6;57,38;71,24;42,8;0;1,9;20,9;NW;49;84;21;30,09;21,34;27,43;86,16;70,42;81,38;684;715;;;;;3,9;18,6;-9,8
EEA01;62;1/10/2011;1;10;2011;14,8;19,6;9,6;58,64;67,28;49,28;0;10,9;41,8;SSW;38;68;22;28,12;23,56;25,88;82,62;74,41;78,59;703;717;;;;;2,4;13,2;-6
EEA01;63;2/10/2011;2;10;2011;12,6;19,2;6,8;54,68;66,56;44,24;0;5,1;27,4;SSW;43;66;20;31,54;23,99;25,89;88,76;75,18;78,59;701;703;;;;;1,2;12,4;-9,2
EEA01;64;3/10/2011;3;10;2011;15,6;21,9;9,8;60,08;71,42;49,64;0;6,9;37;NNW;39;56;26;27,56;24,69;28,39;81,61;76,45;83,1;677;680;;;;;3,4;13,1;-5
EEA01;65;4/10/2011;4;10;2011;14,8;21,5;4,9;58,64;70,7;40,82;0;3,9;25,7;SSW;48;89;22;29,16;20,03;29,41;84,49;68,05;84,94;709;786;;;;;4,4;19,3;-10,7
EEA01;66;5/10/2011;5;10;2011;15,2;23,7;8,2;59,36;74,66;46,76;0;1,6;20,9;SSW;50;77;22;28,73;24,2;26,77;83,71;75,56;80,19;864;1086;;;;;5,2;19,1;-7,4
EEA01;67;6/10/2011;6;10;2011;13,9;19,9;10,4;57,02;67,82;50,72;4,6;1,9;38,6;S;77;98;45;26,12;15,75;35,49;79,02;60,35;95,89;464;603;;;;;9,3;19,5;-0,6
EEA01;68;7/10/2011;7;10;2011;9,9;14,5;7,9;49,82;58,1;46,22;7,6;4,5;35,4;SSW;79;96;52;33,68;16,37;42,41;92,62;61,47;108,35;289;415;;;;;5,7;13,7;-1,7
EEA01;69;8/10/2011;8;10;2011;12,6;17,7;7,8;54,68;63,86;46,04;0;4,5;20,9;S;77;95;60;28,35;15,7;43,5;83,03;60,26;110,29;705;731;;;;;8;16,7;-0,2
EEA01;70;9/10/2011;9;10;2011;14,3;20,3;8,6;57,74;68,54;47,48;0;2,6;17,7;SSE;74;98;44;26,5;16,19;38,73;79,7;61,13;101,72;1141;1208;;;;;9,1;19,9;-2,6
EEA01;71;10/10/2011;10;10;2011;12,6;18,8;4,5;54,68;65,84;40,1;0;6,1;35,4;SSW;48;94;11;32,21;16,44;15,6;89,97;61,6;60,08;886;946;;;;;2,2;17,6;-13,3
EEA01;72;11/10/2011;11;10;2011;11,5;16,7;3,7;52,7;62,06;38,66;1,6;2,3;19,3;ESE;61;94;29;34,28;16,22;38,43;93,7;61,19;101,17;990;1007;;;;;3,7;15,5;-10,5
EEA01;73;12/10/2011;12;10;2011;12,2;18,4;4,7;53,96;65,12;40,46;0;5,1;27,4;SSW;55;98;15;33,2;14,59;21,08;91,76;58,26;69,95;888;891;;;;;3,2;18;-12,3
EEA01;74;13/10/2011;13;10;2011;12,2;20,7;4,2;53,96;69,26;39,56;0;1,8;16,1;NNW;63;98;23;32,63;16,68;31,22;90,73;62,02;88,2;993;1190;;;;;4,8;20,3;-11,2
EEA01;75;14/10/2011;14;10;2011;15,1;24,8;2,9;59,18;76,64;37,22;0;8,5;45,1;SSW;48;90;17;28,81;25,22;24,51;83,85;77,39;76,11;847;856;;;;;4,7;22,8;-13,7
EEA01;76;15/10/2011;15;10;2011;15,1;22;4,7;59,18;71,6;40,46;0;8,9;45,1;SSW;47;94;24;28,77;19,56;31,79;83,78;67,22;89,22;1052;1190;;;;;4,5;20,8;-10,5
EEA01;77;16/10/2011;16;10;2011;13,6;19,9;5,6;56,48;67,82;42,08;0;4;37;S;42;86;17;30,05;19,59;23,27;86,1;67,26;73,89;859;963;;;;;2;17,1;-11
EEA01;78;17/10/2011;17;10;2011;10,8;19,6;1,4;51,44;67,28;34,52;7,2;2,7;27,4;NNW;74;98;39;33,22;15,45;53,39;91,8;59,82;128,11;527;796;;;;;5,6;19,2;-10,8
EEA01;79;18/10/2011;18;10;2011;13,3;22,9;5,8;55,94;73,22;42,44;0,6;3,1;25,7;W;59;96;15;31,08;20,71;20,85;87,94;69,28;69,54;911;921;;;;;5,1;22,1;-11,2
EEA01;80;19/10/2011;19;10;2011;17,1;29,1;4,1;62,78;84,38;39,38;0;2,6;19,3;NNW;50;96;11;26,84;39,03;15,52;80,31;102,25;59,94;923;1032;;;;;7,1;28,3;-13,7
EEA01;81;20/10/2011;20;10;2011;17,9;24,8;8,1;64,22;76,64;46,58;0;2,4;25,7;SSW;49;84;28;26,26;25,43;31,41;79,26;77,78;88,54;920;1063;;;;;7,7;21,6;-6,3
EEA01;82;21/10/2011;21;10;2011;18,1;22,7;12,7;64,58;72,86;54,86;0;8,5;35,4;S;33;63;10;25,29;24,47;17,31;77,53;76,04;63,16;900;1005;;;;;4,7;15,3;-5,3
EEA01;83;22/10/2011;22;10;2011;16,3;23,2;4,3;61,34;73,76;39,74;0;4,3;27,4;NNW;32;82;16;25,95;23,15;22,51;78,71;73,66;72,52;909;940;;;;;2,7;19,6;-12,5
EEA01;84;23/10/2011;23;10;2011;19,8;26,6;13,3;67,64;79,88;55,94;0;7,2;33,8;NNW;39;55;25;25,21;27,32;25,5;77,39;81,17;77,9;875;877;;;;;7,6;17,6;-1,7
EEA01;85;24/10/2011;24;10;2011;19,1;25,4;13,8;66,38;77,72;56,84;0;4,8;25,7;SSW;31;65;15;24,77;26,42;20,66;76,59;79,55;69,19;893;902;;;;;5,3;18,4;-3,2
EEA01;86;25/10/2011;25;10;2011;14,2;21,2;7,8;57,56;70,16;46,04;0;5,1;24,1;SE;49;84;25;29,95;20,85;29,51;85,92;69,52;85,11;895;902;;;;;4;18;-7,2
EEA01;87;26/10/2011;26;10;2011;15,9;24,5;2,9;60,62;76,1;37,22;0;2,9;24,1;NNW;46;97;19;27,89;24,14;27,34;82,2;75,45;81,21;911;912;;;;;5,1;23,9;-13,3
EEA01;88;27/10/2011;27;10;2011;19,4;28,6;7,5;66,92;83,48;45,5;0;5,6;48,3;NNW;35;72;15;25,08;32,21;20,6;77,15;89,97;69,08;893;896;;;;;6,4;23;-9,5
EEA01;89;28/10/2011;28;10;2011;16,8;22,2;11,2;62,24;71,96;52,16;0;10,8;35,4;SSW;33;48;20;25,86;24,99;23,81;78,55;76,98;74,86;890;896;;;;;3,4;11,8;-4,8
EEA01;90;29/10/2011;29;10;2011;16,6;23,8;7,9;61,88;74,84;46,22;0;4,8;25,7;SSW;45;92;20;27,21;23,01;25,26;80,98;73,42;77,46;905;916;;;;;5,6;22,2;-8,1
EEA01;91;30/10/2011;30;10;2011;18,1;28;4,2;64,58;82,4;39,56;0;2,1;20,9;NNW;47;97;13;26,15;35,03;18,42;79,06;95,05;65,16;911;918;;;;;7,5;27,4;-13,2
EEA01;92;31/10/2011;31;10;2011;23,8;30,2;16,8;74,84;86,36;62,24;0;9,2;40,2;NNW;25;35;16;24,7;29,38;21,6;76,46;84,88;70,88;887;891;;;;;8,8;17,2;0
EEA01;93;1/11/2011;1;11;2011;23,2;30,5;17,7;73,76;86,9;63,86;0;5,8;41,8;NNW;34;50;11;24,94;31,81;20,21;76,9;89,26;68,38;967;1104;;;;;10;20,5;-0,1
EEA01;94;2/11/2011;2;11;2011;17,9;24,6;11,3;64,22;76,28;52,34;0;3,4;24,1;SSW;44;84;20;26,23;25,08;23,78;79,22;77,14;74,8;1107;1150;;;;;6,7;21,4;-4,7
EEA01;95;3/11/2011;3;11;2011;19,1;27,3;11;66,38;81,14;51,8;0;2,7;20,9;S;43;90;15;25,58;31,61;20,44;78,05;88,89;68,79;917;921;;;;;7,7;25,3;-6
EEA01;96;4/11/2011;4;11;2011;18,9;25,3;11,4;66,02;77,54;52,52;0;5,6;35,4;SSW;38;89;8;25,45;26,35;15,12;77,82;79,42;59,21;935;940;;;;;6,5;23,1;-7
EEA01;97;5/11/2011;5;11;2011;18,6;28,9;8,5;65,48;84,02;47,3;0;2,3;16,1;SE;43;86;9;25,81;35,79;14,48;78,47;96,41;58,06;919;930;;;;;7,2;26,1;-9,7
EEA01;98;6/11/2011;6;11;2011;20,3;31,7;8,4;68,54;89,06;47,12;0;2,7;35,4;SE;52;90;17;25,03;47,64;22,37;77,06;117,75;72,26;1028;1192;;;;;10,7;29,7;-8,2
EEA01;99;7/11/2011;7;11;2011;20,1;27,2;10,8;68,18;80,96;51,44;0;2,9;25,7;SE;46;86;22;25,25;30,85;25,23;77,45;87,53;77,41;1013;1072;;;;;9,3;24,4;-4,8
EEA01;100;8/11/2011;8;11;2011;18,7;27,2;10,1;65,66;80,96;50,18;0;5,1;38,6;S;43;88;16;25,77;31,08;21,23;78,38;87,94;70,21;938;969;;;;;7,3;24,8;-6,7
EEA01;101;9/11/2011;9;11;2011;13,8;17,8;6,7;56,84;64,04;44,06;0;10,8;56,3;SSW;40;75;25;29,49;22,75;30,6;85,08;72,94;87,08;826;1076;;;;;1,8;12,8;-8,3
EEA01;102;10/11/2011;10;11;2011;15,2;23,5;7,7;59,36;74,3;45,86;0;6,9;35,4;SSW;41;65;20;28,17;24,77;25,36;82,71;76,58;77,66;948;960;;;;;3,4;16,5;-8,3
EEA01;103;11/11/2011;11;11;2011;18,3;26,8;9,7;64,94;80,24;49,46;0;2,7;19,3;SSW;41;80;17;25,89;29,3;22,08;78,6;84,74;71,74;946;947;;;;;6,5;22,8;-6,9
EEA01;104;12/11/2011;12;11;2011;21,1;35,6;5,9;69,98;96,08;42,62;0;3,1;27,4;SE;52;97;16;24,89;72,9;22,01;76,8;163,21;71,62;925;930;;;;;11,5;35;-10,9
EEA01;105;13/11/2011;13;11;2011;23,7;31,7;17,1;74,66;89,06;62,78;0;6,1;32,2;SW;35;78;14;25,1;42,49;20,99;77,17;108,49;69,79;933;951;;;;;10,7;27,3;-0,1
EEA01;106;14/11/2011;14;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;107;15/11/2011;15;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;108;16/11/2011;16;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;109;17/11/2011;17;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;110;18/11/2011;18;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;111;19/11/2011;19;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;112;20/11/2011;20;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;113;21/11/2011;21;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;114;22/11/2011;22;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;115;23/11/2011;23;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;116;24/11/2011;24;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;117;25/11/2011;25;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;118;26/11/2011;26;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;119;27/11/2011;27;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;120;28/11/2011;28;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;121;29/11/2011;29;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;122;30/11/2011;30;11;2011;;;;32;32;32;;;;;;;;-8,78;-8,78;-8,78;16,19;16,19;16,19;;;;;;;-20;-20;-20
EEA01;123;1/12/2011;1;12;2011;23,4;32,1;7,4;74,12;89,78;45,32;0;4,5;25,7;NNW;29;85;11;24,78;46,99;16,27;76,6;116,57;61,28;988;991;;;;;9,2;29,1;-10,4
EEA01;124;2/12/2011;2;12;2011;22,4;29,1;15;72,32;84,38;59;0;4;30,6;SSW;38;69;21;24,95;32,76;23,35;76,91;90,96;74,03;1104;1230;;;;;10;22,9;-0,8
EEA01;125;3/12/2011;3;12;2011;19,8;27,2;8,9;67,64;80,96;48,02;0;5,3;33,8;S;44;85;25;25,34;30,73;28,51;77,61;87,32;83,31;972;1005;;;;;8,6;24,2;-6,1
EEA01;126;4/12/2011;4;12;2011;19,2;27;12,4;66,56;80,6;54,32;0;4,5;29;SSW;46;82;24;25,57;29,93;25,51;78,03;85,87;77,92;955;962;;;;;8,4;23,4;-2,8
EEA01;127;5/12/2011;5;12;2011;21,6;30,3;13,2;70,88;86,54;55,76;0;2,6;19,3;SSW;48;90;21;24,98;41,87;23,74;76,96;107,37;74,74;978;983;;;;;11,2;28,3;-2,6
EEA01;128;6/12/2011;6;12;2011;22,7;35,7;9,7;72,86;96,26;49,46;0;2,7;25,7;SE;56;93;19;24,84;70,03;23,63;76,71;158,05;74,54;951;954;;;;;13,9;34,3;-6,5
EEA01;129;7/12/2011;7;12;2011;25,6;31,3;17,6;78,08;88,34;63,68;0;7,2;38,6;SE;35;63;27;25,82;36,31;24,49;78,47;97,36;76,09;1049;1099;;;;;12,6;23,9;3
EEA01;130;8/12/2011;8;12;2011;20,4;31,6;11,3;68,72;88,88;52,34;0,2;5,5;30,6;SE;50;74;23;25,09;40,66;25,56;77,15;105,18;78,02;939;942;;;;;10,4;26,4;-4,1
