sector_id;sector_nombre;variable_id;actividad_producto_nombre;indicador;unidad_de_medida;fuente;frecuencia_nombre;cobertura_nombre;alcance_tipo;alcance_id;alcance_nombre;indice_tiempo;valor
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2012-01-01;3012
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2013-01-01;2981
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2014-01-01;3058
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2015-01-01;3017
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2016-01-01;3044
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2017-01-01;2779
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2018-01-01;2515
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2019-01-01;842
23;FALSO;320;Manzana;FALSO;ha;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2020-01-01;842
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1998-01-01;4405
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1999-01-01;4484
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2000-01-01;4589
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2001-01-01;4673
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1998-01-01;22551
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1999-01-01;23077
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2000-01-01;24224
23;FALSO;324;Manzana;FALSO;ha;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2001-01-01;24733
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;1998-01-01;32606
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;1999-01-01;85274
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2000-01-01;NA
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2001-01-01;175836
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2002-01-01;NA
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2003-01-01;144263
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2004-01-01;109253
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2005-01-01;97880
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2006-01-01;112870
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2007-01-01;99982
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2008-01-01;69121
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2009-01-01;69517
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2010-01-01;91763
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2011-01-01;85580
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2012-01-01;85396
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2013-01-01;69692
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2014-01-01;52505
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2015-01-01;88864
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2016-01-01;51261
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2017-01-01;NA
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2018-01-01;63799
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2019-01-01;15454
23;FALSO;321;Manzana;FALSO;tn;IDR;Anual;Provincial;PROVINCIA;50;MENDOZA;2020-01-01;20609
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;1999-01-01;1196940
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2000-01-01;NA
